Date,Temperature,Flow rate
03/12/2016,520.6268921,9.289446831
03/12/2016,523.2334595,20.49590111
04/12/2016,518.8878784,16.26639366
04/12/2016,515.9238281,9.339652061
04/12/2016,513.6202393,12.8857584
04/12/2016,519.9536133,12.05020523
05/12/2016,577.7577515,14.49077892
05/12/2016,607.0343018,13.56915951
05/12/2016,662.8299561,20.67981529
05/12/2016,674.260437,10.25922108
05/12/2016,672.8771973,10.15266418
06/12/2016,667.0889282,11.62602425
06/12/2016,664.4969482,10.90215206
06/12/2016,666.2261353,16.45133209
06/12/2016,665.4769897,17.82991791
07/12/2016,665.4335938,17.77612686
07/12/2016,664.8435059,13.18135262
07/12/2016,665.0870361,13.29713154
07/12/2016,665.2764893,11.1670084
07/12/2016,666.2059937,4.786885262
07/12/2016,665.7137451,4.980532646
08/12/2016,664.7985229,5.4579916
08/12/2016,665.2880859,8.125
08/12/2016,664.2949829,22.76434517
08/12/2016,664.7183838,30.09272575
08/12/2016,664.7208862,14.84477425
09/12/2016,665.2808838,10.34170055
09/12/2016,664.8682251,10.59221268
09/12/2016,699.8154297,10.38729477
09/12/2016,707.1434326,11.96157742
10/12/2016,708.206604,11.67059422
10/12/2016,706.9302368,6.940061569
10/12/2016,706.1199951,11.19159794
10/12/2016,706.3037109,15.5625
11/12/2016,705.9505005,16.93493843
11/12/2016,706.7337646,15.73463154
11/12/2016,706.8591309,21.6777668
11/12/2016,706.9779053,18.33913994
11/12/2016,707.3619385,24.42008209
12/12/2016,706.911499,18.00256157
12/12/2016,706.5349731,14.24897575
12/12/2016,707.2099609,18.23514366
12/12/2016,706.9325562,20.07786942
12/12/2016,707.0205688,20.93801308
13/12/2016,660.5306396,8.984118462
13/12/2016,660.5355835,7.462090015
13/12/2016,661.2028198,11.64088154
13/12/2016,660.5802002,11.09733582
14/12/2016,697.2210693,16.17622948
14/12/2016,697.3417358,13.95491791
14/12/2016,697.2807007,13.62038898
14/12/2016,680.5866699,13.91393471
15/12/2016,679.3473511,22.03944588
15/12/2016,679.6538696,10.84426212
15/12/2016,672.0803223,10.87397575
15/12/2016,688.791687,13.05430317
16/12/2016,688.7440796,15.18647575
16/12/2016,688.7490845,11.92827892
16/12/2016,688.487854,18.75102425
16/12/2016,514.1694946,27.99282837
17/12/2016,507.8680725,20.21618843
17/12/2016,521.3963013,18.62961006
17/12/2016,521.3890991,8.053278923
17/12/2016,510.3380127,9.061987877
18/12/2016,508.0302124,7.869364738
18/12/2016,512.9005127,7.809938431
18/12/2016,501.7325745,11.35860634
18/12/2016,519.5657959,12.00512314
19/12/2016,518.3948364,5.805840015
19/12/2016,515.2531738,3.465676308
19/12/2016,501.3191833,7.096823692
19/12/2016,514.6608887,10.66854477
20/12/2016,517.517395,8.530737877
20/12/2016,522.2266846,3.536885262
20/12/2016,514.916626,5.872438431
20/12/2016,512.829834,11.96670055
21/12/2016,513.4952393,3.1198771
21/12/2016,511.6065674,5.901639462
21/12/2016,508.9881897,2.881147623
21/12/2016,507.608551,3.162909746
22/12/2016,616.5578613,15.46106529
22/12/2016,622.5548706,22.39395523
22/12/2016,623.1533813,15.81301212
22/12/2016,623.2420654,16.26434517
23/12/2016,623.0350342,17.85194588
23/12/2016,622.2276001,6.6454916
23/12/2016,621.7960815,9.688012123
23/12/2016,622.6072388,14.33145523
24/12/2016,621.6470947,8.967212677
24/12/2016,621.5217896,9.746414185
24/12/2016,621.8579102,13.37807369
24/12/2016,620.9522095,9.189037323
25/12/2016,621.1356201,11.39241791
25/12/2016,620.5080566,11.68084049
25/12/2016,619.6484375,7.376024723
25/12/2016,619.8277588,9.323770523
26/12/2016,620.7509766,3.985143423
26/12/2016,621.4232788,12.85502052
26/12/2016,620.8970947,6.162397385
26/12/2016,619.5596313,11.47284794
27/12/2016,614.0426025,8.067623138
27/12/2016,617.9453735,9.123462677
27/12/2016,617.7220459,8.097335815
27/12/2016,617.6915894,18.49743843
28/12/2016,616.5574341,18.04456902
28/12/2016,617.4540405,15.69877052
28/12/2016,615.0873413,6.051229477
28/12/2016,614.8464966,13.14856529
29/12/2016,614.1690674,13.44415951
29/12/2016,615.7295532,9.829405785
29/12/2016,617.2961426,15.74231529
29/12/2016,519.0681152,12.04559422
30/12/2016,524.6735229,14.89907742
30/12/2016,528.7282715,16.68852425
30/12/2016,522.9782104,16.08913994
30/12/2016,521.0753174,16.82940483
31/12/2016,529.9039307,17.39958954
31/12/2016,527.3981934,15.37551212
31/12/2016,510.0523071,10.63370895
31/12/2016,536.9007568,17.35399628
01/01/2017,519.4508057,5.502048969
01/01/2017,519.1472168,6.633708954
01/01/2017,511.0751038,15.25204945
01/01/2017,524.6723022,15.11116791
02/01/2017,524.5228882,15.02510262
02/01/2017,520.4017944,14.93852425
02/01/2017,528.2883911,16.37192535
02/01/2017,528.006897,4.603483677
